CategoryC, supply_source
Central Valley Project - Base Deliveries - Urban, cvp
Central Valley Project - Project Deliveries - Urban, cvp
Colorado River Deliveries - Urban, crb
Desalination - Urban, desal
Groundwater Extraction - Adjudicated - Urban, gw
Groundwater Extraction - Banked - Urban, gw 
Groundwater Extraction - Unadjudicated - Urban, gw
Inter-basin Water Transfers - Urban, transfer
Local Imports - Urban, local_import
Local Supplies - Urban, local_supply
Ocean Desalination - Urban, desal
Other Federal Deliveries - Urban, other
Return Flow from Other DAUCO within PA - Urban, rf
Return Flow from Other PA - Urban, rf
Return Flow from Other Region - Urban, rf
Return Flow to Carryover Storage within DAU from Previous WY - Urban, rf
State Water Project Deliveries - Urban, swp
Water Transfers - Regional - Urban, transfer
Water from Refineries - Urban, other
